season,team,new_hc,hc_tenure
2015,Air Force,0,3
2015,Akron,0,3
2015,Alabama,0,3
2015,App State,0,1
2015,Arizona,0,3
2015,Arizona State,0,3
2015,Arkansas,0,2
2015,Arkansas State,0,1
2015,Army,0,1
2015,Auburn,0,2
2015,BYU,0,3
2015,Ball State,0,3
2015,Baylor,0,3
2015,Boise State,0,1
2015,Boston College,0,2
2015,Bowling Green,0,1
2015,Buffalo,1,0
2015,California,0,2
2015,Central Michigan,1,0
2015,Charlotte,1,0
2015,Cincinnati,0,2
2015,Clemson,0,3
2015,Coastal Carolina,0,0
2015,Colorado,0,2
2015,Colorado State,1,0
2015,Delaware,0,0
2015,Duke,0,3
2015,East Carolina,0,3
2015,Eastern Michigan,0,1
2015,Florida,1,0
2015,Florida Atlantic,0,1
2015,Florida International,0,2
2015,Florida State,0,3
2015,Fresno State,0,3
2015,Georgia,0,3
2015,Georgia Southern,0,1
2015,Georgia State,0,2
2015,Georgia Tech,0,3
2015,Hawai'i,1,0
2015,Houston,1,0
2015,Idaho,0,2
2015,Illinois,1,0
2015,Indiana,0,3
2015,Iowa,0,3
2015,Iowa State,0,3
2015,Jacksonville State,0,0
2015,James Madison,0,0
2015,Kansas,1,0
2015,Kansas State,0,3
2015,Kennesaw State,0,0
2015,Kent State,0,2
2015,Kentucky,0,2
2015,LSU,0,3
2015,Liberty,0,0
2015,Louisiana,0,3
2015,Louisiana Tech,0,2
2015,Louisville,0,1
2015,Marshall,0,3
2015,Maryland,0,3
2015,Massachusetts,0,1
2015,Memphis,0,3
2015,Miami,0,3
2015,Miami (OH),0,1
2015,Michigan,1,0
2015,Michigan State,0,3
2015,Middle Tennessee,0,3
2015,Minnesota,0,3
2015,Mississippi State,0,3
2015,Missouri,0,3
2015,Missouri State,0,0
2015,NC State,0,2
2015,Navy,0,3
2015,Nebraska,1,0
2015,Nevada,0,2
2015,New Mexico,0,3
2015,New Mexico State,0,2
2015,North Carolina,0,3
2015,North Dakota State,0,0
2015,North Texas,0,3
2015,Northern Illinois,0,2
2015,Northwestern,0,3
2015,Notre Dame,0,3
2015,Ohio,0,3
2015,Ohio State,0,3
2015,Oklahoma,0,3
2015,Oklahoma State,0,3
2015,Old Dominion,0,1
2015,Ole Miss,0,3
2015,Oregon,0,2
2015,Oregon State,1,0
2015,Penn State,0,1
2015,Pittsburgh,1,0
2015,Purdue,0,2
2015,Rice,0,3
2015,Rutgers,0,3
2015,SMU,1,0
2015,Sacramento State,0,0
2015,Sam Houston,0,0
2015,San Diego State,0,3
2015,San José State,0,2
2015,South Alabama,0,3
2015,South Carolina,0,3
2015,South Florida,0,2
2015,Southern Miss,0,2
2015,Stanford,0,3
2015,Syracuse,0,2
2015,TCU,0,3
2015,Temple,0,2
2015,Tennessee,0,2
2015,Texas,0,1
2015,Texas A&M,0,3
2015,Texas State,0,3
2015,Texas Tech,0,2
2015,Toledo,1,0
2015,Troy,1,0
2015,Tulane,0,3
2015,Tulsa,1,0
2015,UAB,0,0
2015,UCF,0,3
2015,UCLA,0,3
2015,UConn,0,1
2015,UL Monroe,0,3
2015,UNLV,1,0
2015,USC,1,0
2015,UTEP,0,2
2015,UTSA,0,3
2015,Utah,0,3
2015,Utah State,0,2
2015,Vanderbilt,0,1
2015,Virginia,0,3
2015,Virginia Tech,0,3
2015,Wake Forest,0,1
2015,Washington,0,1
2015,Washington State,0,3
2015,West Virginia,0,3
2015,Western Kentucky,0,1
2015,Western Michigan,0,2
