season,team,ret_ppa,ret_pass_ppa,ret_rush_ppa,ret_rec_ppa,usage
2014,Air Force,0.608,0.417,0.453,0.78,0.684
2014,Akron,0.819,1.0,0.48,0.772,0.952
2014,Alabama,0.574,0.021,0.915,0.715,0.589
2014,Arizona,0.34,0.0,-0.018,0.595,0.142
2014,Arizona State,0.669,0.953,0.668,0.562,0.713
2014,Arkansas,0.667,0.921,0.941,0.519,0.856
2014,Arkansas State,0.283,-0.013,0.325,0.449,0.335
2014,Army,0.952,1.0,0.974,0.905,0.946
2014,Auburn,0.807,1.0,0.662,0.859,0.68
2014,Ball State,-0.047,-0.029,1.195,0.078,0.342
2014,Baylor,0.822,1.001,0.497,0.789,0.738
2014,Boise State,0.56,0.398,1.43,0.623,0.661
2014,Boston College,0.199,-0.005,3.5,0.325,0.181
2014,Bowling Green,0.452,-1.0,1.019,0.424,0.642
2014,Buffalo,0.54,1.01,-0.113,0.368,0.512
2014,BYU,0.552,1.109,0.982,0.255,0.861
2014,California,0.82,1.043,0.326,0.722,0.742
2014,Central Michigan,0.955,0.981,0.627,0.902,0.858
2014,Cincinnati,0.402,0.101,-0.638,0.659,0.44
2014,Clemson,0.288,0.161,-0.105,0.4,0.288
2014,Colorado,0.624,0.942,0.872,0.575,0.718
2014,Colorado State,0.667,1.0,0.293,0.652,0.572
2014,Duke,0.782,0.728,0.358,0.875,0.728
2014,East Carolina,0.827,1.0,0.527,0.695,0.744
2014,Eastern Michigan,0.737,0.137,0.714,0.856,0.659
2014,Florida,0.436,0.413,1.73,0.514,0.639
2014,Florida Atlantic,0.739,1.007,76.667,0.461,0.711
2014,Florida International,1.076,1.867,0.558,0.832,0.584
2014,Florida State,0.617,1.0,0.595,0.302,0.621
2014,Fresno State,0.295,-0.021,0.717,0.395,0.385
2014,Georgia,0.513,0.283,0.013,0.672,0.528
2014,Georgia State,0.604,0.957,-0.181,0.409,0.7
2014,Georgia Tech,0.441,-0.111,0.434,0.633,0.367
2014,Hawai'i,0.309,-0.343,0.552,0.492,0.5
2014,Houston,0.84,0.965,0.714,0.806,0.884
2014,Idaho,0.742,1.766,0.713,0.62,0.575
2014,Illinois,0.262,0.019,0.316,0.369,0.387
2014,Indiana,0.446,0.797,0.404,0.311,0.546
2014,Iowa,0.825,1.0,1.115,0.749,0.952
2014,Iowa State,0.792,0.916,1.272,0.728,0.788
2014,Kansas,0.77,4.889,0.031,0.629,0.322
2014,Kansas State,0.743,0.792,0.41,0.742,0.506
2014,Kent State,0.746,1.016,0.418,0.76,0.775
2014,Kentucky,0.537,0.355,-0.748,0.693,0.525
2014,Louisiana,0.843,1.016,1.063,0.703,0.919
2014,Louisiana Tech,0.542,0.76,1.05,0.402,0.683
2014,Louisville,0.378,0.01,-0.2,0.647,0.373
2014,LSU,0.118,0.012,-0.014,0.23,0.25
2014,Marshall,0.788,0.982,0.814,0.668,0.691
2014,Maryland,0.879,1.0,0.673,0.832,0.946
2014,Massachusetts,0.664,0.355,0.706,0.708,0.692
2014,Memphis,1.01,1.012,0.082,0.968,0.888
2014,Miami,0.408,0.171,0.913,0.583,0.456
2014,Miami (OH),0.811,-5.636,0.741,0.874,0.627
2014,Michigan,0.658,1.006,0.18,0.368,0.696
2014,Michigan State,1.016,1.067,0.778,1.0,0.969
2014,Middle Tennessee,0.476,0.02,1.654,0.606,0.514
2014,Minnesota,0.624,0.436,0.168,0.772,0.652
2014,Mississippi State,0.91,0.69,2.359,0.892,0.737
2014,Missouri,0.312,0.43,0.359,0.257,0.373
2014,Navy,0.685,1.0,0.728,0.525,0.882
2014,NC State,0.24,0.024,-0.742,0.449,0.337
2014,Nebraska,0.556,0.15,0.947,0.604,0.666
2014,Nevada,0.642,1.015,-1.658,0.33,0.777
2014,New Mexico,0.826,1.07,0.758,0.82,0.727
2014,New Mexico State,0.479,-0.049,1.815,0.778,0.351
2014,North Carolina,0.492,0.425,0.651,0.52,0.628
2014,Northern Illinois,0.594,0.045,0.54,0.836,0.432
2014,North Texas,0.168,0.045,5.433,0.422,0.287
2014,Northwestern,0.742,0.76,1.186,0.718,0.647
2014,Notre Dame,0.457,0.0,0.542,0.446,0.627
2014,Ohio,0.244,0.031,-0.02,0.295,0.211
2014,Ohio State,0.62,0.802,0.455,0.806,0.571
2014,Oklahoma,0.585,1.064,0.88,0.357,0.522
2014,Oklahoma State,0.431,0.359,-4.1,0.418,0.472
2014,Ole Miss,0.625,1.062,0.325,0.491,0.749
2014,Oregon,0.707,1.019,0.831,0.494,0.807
2014,Oregon State,0.654,0.986,1.024,0.497,0.805
2014,Penn State,0.539,0.967,0.814,0.328,0.85
2014,Pittsburgh,0.494,0.031,0.349,0.752,0.548
2014,Purdue,0.862,0.813,1.115,0.893,0.748
2014,Rice,0.432,-0.118,0.215,0.669,0.253
2014,Rutgers,0.566,0.524,0.992,0.622,0.792
2014,San Diego State,0.657,1.098,1.646,0.554,0.575
2014,San José State,0.359,-0.005,0.614,0.55,0.424
2014,SMU,0.241,0.145,-0.607,0.35,0.37
2014,South Alabama,0.565,0.153,0.335,0.85,0.489
2014,South Carolina,0.533,0.257,0.403,0.719,0.57
2014,Southern Miss,0.579,0.357,0.315,0.585,0.581
2014,South Florida,0.916,1.216,0.283,0.736,0.486
2014,Stanford,0.889,1.0,0.6,0.928,0.568
2014,Syracuse,0.886,0.849,3.392,0.743,0.593
2014,TCU,0.565,0.773,0.959,0.576,0.592
2014,Temple,0.642,1.319,0.823,0.542,0.86
2014,Tennessee,0.799,1.168,1.183,0.702,0.649
2014,Texas,0.538,-0.166,0.413,0.602,0.565
2014,Texas A&M,0.227,0.04,0.244,0.317,0.28
2014,Texas State,0.649,0.641,0.725,0.647,0.681
2014,Texas Tech,0.46,0.495,0.848,0.456,0.56
2014,Toledo,0.555,1.0,0.517,0.578,0.59
2014,Troy,0.363,0.059,0.59,0.494,0.415
2014,Tulane,0.614,1.035,1.854,0.419,0.709
2014,Tulsa,0.309,0.127,0.458,0.332,0.321
2014,UAB,0.378,0.0,0.357,0.722,0.289
2014,UCF,0.442,-0.017,-1.197,0.786,0.334
2014,UCLA,0.912,0.998,1.096,0.819,0.882
2014,UConn,0.941,1.0,0.367,0.857,0.76
2014,UL Monroe,0.584,0.208,-4.125,0.688,0.42
2014,UNLV,0.646,-0.109,0.209,0.881,0.331
2014,USC,0.706,0.918,-0.096,0.625,0.759
2014,Utah,0.66,1.0,2.542,0.478,0.68
2014,Utah State,0.533,1.001,0.075,0.332,0.562
2014,UTEP,0.692,0.967,0.421,0.573,0.819
2014,UTSA,0.546,0.026,0.333,0.927,0.478
2014,Vanderbilt,0.081,-0.013,-0.04,0.133,0.429
2014,Virginia,0.748,1.0,0.559,0.664,0.926
2014,Virginia Tech,0.555,0.036,0.779,0.853,0.459
2014,Wake Forest,0.243,-0.025,1.01,0.388,0.251
2014,Washington,0.284,0.058,0.107,0.454,0.306
2014,Washington State,0.973,1.087,-1.25,0.934,0.909
2014,Western Kentucky,0.76,1.021,-0.054,0.791,0.657
2014,Western Michigan,0.809,-7.565,4.842,0.72,0.577
2014,West Virginia,0.704,0.832,0.917,0.684,0.683
2014,Wisconsin,0.468,1.087,0.626,0.185,0.617
2014,Wyoming,0.291,-0.047,0.367,0.481,0.275
2015,Air Force,0.615,0.134,0.686,0.862,0.646
2015,Akron,0.479,1.304,1.003,0.323,0.758
2015,Alabama,0.222,0.101,0.281,0.285,0.251
2015,App State,0.952,0.994,0.972,0.909,0.93
2015,Arizona,0.883,1.0,0.949,0.789,0.861
2015,Arizona State,0.547,0.408,0.656,0.593,0.536
2015,Arkansas,0.888,0.965,0.863,0.858,0.942
2015,Arkansas State,0.989,1.023,1.011,0.96,0.96
2015,Army,0.292,0.871,0.166,0.783,0.278
2015,Auburn,0.202,0.254,0.142,0.184,0.157
2015,Ball State,0.613,0.43,-0.223,0.927,0.521
2015,Baylor,0.608,0.314,0.817,0.709,0.549
2015,Boise State,0.355,0.274,0.15,0.51,0.259
2015,Boston College,0.183,-0.025,0.049,0.397,0.483
2015,Bowling Green,0.977,0.928,0.957,1.006,0.839
2015,Buffalo,0.946,1.0,1.0,0.893,0.939
2015,BYU,0.575,0.326,0.701,0.648,0.53
2015,California,0.913,1.002,0.985,0.832,0.936
2015,Central Michigan,0.658,0.983,0.566,0.452,0.575
2015,Cincinnati,0.895,0.854,0.845,0.939,0.892
2015,Clemson,0.86,0.797,0.391,0.933,0.632
2015,Colorado,0.811,0.985,1.08,0.688,0.839
2015,Colorado State,0.482,0.013,0.316,0.853,0.414
2015,Duke,0.394,0.218,0.652,0.298,0.37
2015,East Carolina,0.188,0.021,0.442,0.252,0.246
2015,Eastern Michigan,0.78,-3.175,2.615,0.369,0.49
2015,Florida,0.522,0.634,0.262,0.543,0.426
2015,Florida Atlantic,0.759,1.168,1.284,0.439,0.641
2015,Florida International,0.669,0.99,0.942,0.585,0.855
2015,Florida State,0.308,0.144,0.419,0.442,0.372
2015,Fresno State,0.377,0.04,0.525,0.368,0.302
2015,Georgia,0.461,0.23,0.927,0.419,0.558
2015,Georgia Southern,0.714,1.0,0.745,0.338,0.79
2015,Georgia State,0.883,0.988,0.171,0.74,0.802
2015,Georgia Tech,0.441,0.888,0.419,0.144,0.413
2015,Hawai'i,0.752,0.826,0.618,0.76,0.778
2015,Houston,0.696,0.731,0.967,0.516,0.642
2015,Idaho,0.383,0.547,0.566,0.274,0.584
2015,Illinois,0.73,0.768,-0.265,0.793,0.555
2015,Indiana,0.271,0.766,0.177,0.388,0.471
2015,Iowa,0.333,0.145,0.038,0.538,0.356
2015,Iowa State,0.706,0.732,1.17,0.619,0.657
2015,Kansas,0.352,0.844,-0.297,0.132,0.543
2015,Kansas State,0.13,0.063,0.427,0.119,0.233
2015,Kent State,0.478,1.019,0.786,0.305,0.752
2015,Kentucky,0.722,0.933,0.972,0.578,0.818
2015,Louisiana,0.555,0.459,0.476,0.646,0.369
2015,Louisiana Tech,0.459,0.039,0.658,0.72,0.519
2015,Louisville,0.596,0.816,0.947,0.385,0.619
2015,LSU,0.792,0.907,0.713,0.806,0.77
2015,Marshall,0.392,0.091,0.619,0.448,0.347
2015,Maryland,0.297,0.341,0.22,0.312,0.34
2015,Massachusetts,0.848,0.954,1.186,0.759,0.885
2015,Memphis,0.767,0.84,0.718,0.741,0.769
2015,Miami,0.651,0.853,1.111,0.457,0.844
2015,Miami (OH),0.324,-0.01,-0.346,0.619,0.266
2015,Michigan,0.507,-0.695,0.718,0.574,0.434
2015,Michigan State,0.599,0.963,0.232,0.473,0.576
2015,Middle Tennessee,0.739,1.005,0.885,0.548,0.8
2015,Minnesota,0.53,0.706,0.665,0.326,0.495
2015,Mississippi State,0.742,0.981,0.656,0.644,0.703
2015,Missouri,0.474,0.836,0.768,0.132,0.649
2015,Navy,0.707,1.056,0.68,0.752,0.702
2015,NC State,0.82,1.005,0.917,0.616,0.804
2015,Nebraska,0.644,0.947,0.432,0.629,0.696
2015,Nevada,0.472,0.087,0.251,0.768,0.442
2015,New Mexico,0.809,1.246,0.906,0.525,0.847
2015,New Mexico State,0.782,1.0,1.303,0.625,0.836
2015,North Carolina,0.885,0.958,1.0,0.803,0.95
2015,Northern Illinois,0.724,0.898,0.725,0.587,0.668
2015,North Texas,0.721,-2.464,0.479,0.954,0.64
2015,Northwestern,0.405,0.236,0.322,0.459,0.442
2015,Notre Dame,0.536,0.138,0.742,0.773,0.407
2015,Ohio,0.794,0.933,0.943,0.709,0.897
2015,Ohio State,0.825,0.781,0.963,0.721,0.913
2015,Oklahoma,0.831,0.974,0.876,0.723,0.866
2015,Oklahoma State,0.723,0.514,0.242,0.92,0.443
2015,Old Dominion,0.427,0.059,0.487,0.613,0.341
2015,Ole Miss,0.547,0.112,0.959,0.672,0.445
2015,Oregon,0.478,0.275,0.496,0.648,0.56
2015,Oregon State,0.431,0.087,-0.154,0.705,0.203
2015,Penn State,0.748,0.816,3.609,0.691,0.789
2015,Pittsburgh,0.842,0.926,0.913,0.747,0.875
2015,Purdue,0.543,0.605,0.375,0.608,0.449
2015,Rice,0.731,0.963,1.015,0.526,0.899
2015,Rutgers,0.456,-0.097,0.637,0.73,0.609
2015,San Diego State,0.665,-0.503,0.988,0.592,0.62
2015,San José State,0.804,0.844,1.191,0.756,0.806
2015,SMU,0.884,0.581,1.327,0.606,0.753
2015,South Alabama,0.322,-0.472,0.341,0.451,0.363
2015,South Carolina,0.349,0.121,0.528,0.427,0.284
2015,Southern Miss,0.686,0.84,1.057,0.626,0.816
2015,South Florida,0.391,0.053,-0.917,0.497,0.584
2015,Stanford,0.84,0.946,1.049,0.717,0.774
2015,Syracuse,0.678,2.234,0.953,0.528,0.638
2015,TCU,0.889,0.933,0.829,0.891,0.842
