team,mascot,abbr,conf
Air Force,Falcons,AF,Mountain West
Akron,Zips,AKR,Mid-American
Alabama,Crimson Tide,ALA,SEC
App State,Mountaineers,APP,Sun Belt
Arizona,Wildcats,ARIZ,Big 12
Arizona State,Sun Devils,ASU,Big 12
Arkansas,Razorbacks,ARK,SEC
Arkansas State,Red Wolves,ARST,Sun Belt
Army,Black Knights,ARMY,American Athletic
Auburn,Tigers,AUB,SEC
Ball State,Cardinals,BALL,Mid-American
Baylor,Bears,BAY,Big 12
Boise State,Broncos,BOIS,Pac-12
Boston College,Eagles,BC,ACC
Bowling Green,Falcons,BGSU,Mid-American
Buffalo,Bulls,BUF,Mid-American
BYU,Cougars,BYU,Big 12
California,Golden Bears,CAL,ACC
Central Michigan,Chippewas,CMU,Mid-American
Charlotte,49ers,CLT,American Athletic
Cincinnati,Bearcats,CIN,Big 12
Clemson,Tigers,CLEM,ACC
Coastal Carolina,Chanticleers,CCU,Sun Belt
Colorado,Buffaloes,COLO,Big 12
Colorado State,Rams,CSU,Pac-12
Delaware,Blue Hens,DEL,Conference USA
Duke,Blue Devils,DUKE,ACC
East Carolina,Pirates,ECU,American Athletic
Eastern Michigan,Eagles,EMU,Mid-American
Florida,Gators,FLA,SEC
Florida Atlantic,Owls,FAU,American Athletic
Florida International,Panthers,FIU,Conference USA
Florida State,Seminoles,FSU,ACC
Fresno State,Bulldogs,FRES,Pac-12
Georgia,Bulldogs,UGA,SEC
Georgia Southern,Eagles,GASO,Sun Belt
Georgia State,Panthers,GAST,Sun Belt
Georgia Tech,Yellow Jackets,GT,ACC
Hawai'i,Rainbow Warriors,HAW,Mountain West
Houston,Cougars,HOU,Big 12
Illinois,Fighting Illini,ILL,Big Ten
Indiana,Hoosiers,IU,Big Ten
Iowa,Hawkeyes,IOWA,Big Ten
Iowa State,Cyclones,ISU,Big 12
Jacksonville State,Gamecocks,JXST,Conference USA
James Madison,Dukes,JMU,Sun Belt
Kansas,Jayhawks,KU,Big 12
Kansas State,Wildcats,KSU,Big 12
Kennesaw State,Owls,KENN,Conference USA
Kent State,Golden Flashes,KENT,Mid-American
Kentucky,Wildcats,UK,SEC
Liberty,Flames,LIB,Conference USA
Louisiana,Ragin' Cajuns,UL,Sun Belt
Louisiana Tech,Bulldogs,LT,Sun Belt
Louisville,Cardinals,LOU,ACC
LSU,Tigers,LSU,SEC
Marshall,Thundering Herd,MRSH,Sun Belt
Maryland,Terrapins,MD,Big Ten
Massachusetts,Minutemen,MASS,Mid-American
Memphis,Tigers,MEM,American Athletic
Miami,Hurricanes,MIA,ACC
Miami (OH),RedHawks,M-OH,Mid-American
Michigan,Wolverines,MICH,Big Ten
Michigan State,Spartans,MSU,Big Ten
Middle Tennessee,Blue Raiders,MTSU,Conference USA
Minnesota,Golden Gophers,MINN,Big Ten
Mississippi State,Bulldogs,MSST,SEC
Missouri,Tigers,MIZ,SEC
Missouri State,Bears,MOST,Conference USA
Navy,Midshipmen,NAVY,American Athletic
NC State,Wolfpack,NCSU,ACC
Nebraska,Cornhuskers,NEB,Big Ten
Nevada,Wolf Pack,NEV,Mountain West
New Mexico,Lobos,UNM,Mountain West
New Mexico State,Aggies,NMSU,Conference USA
North Carolina,Tar Heels,UNC,ACC
North Dakota State,Bison,NDSU,Mountain West
Northern Illinois,Huskies,NIU,Mountain West
North Texas,Mean Green,UNT,American Athletic
Northwestern,Wildcats,NU,Big Ten
Notre Dame,Fighting Irish,ND,FBS Independents
Ohio,Bobcats,OHIO,Mid-American
Ohio State,Buckeyes,OSU,Big Ten
Oklahoma,Sooners,OU,SEC
Oklahoma State,Cowboys,OKST,Big 12
Old Dominion,Monarchs,ODU,Sun Belt
Ole Miss,Rebels,MISS,SEC
Oregon,Ducks,ORE,Big Ten
Oregon State,Beavers,ORST,Pac-12
Penn State,Nittany Lions,PSU,Big Ten
Pittsburgh,Panthers,PITT,ACC
Purdue,Boilermakers,PUR,Big Ten
Rice,Owls,RICE,American Athletic
Rutgers,Scarlet Knights,RUTG,Big Ten
Sacramento State,Hornets,SAC,Mid-American
Sam Houston,Bearkats,SHSU,Conference USA
San Diego State,Aztecs,SDSU,Pac-12
San José State,Spartans,SJSU,Mountain West
SMU,Mustangs,SMU,ACC
South Alabama,Jaguars,USA,Sun Belt
South Carolina,Gamecocks,SC,SEC
Southern Miss,Golden Eagles,USM,Sun Belt
South Florida,Bulls,USF,American Athletic
Stanford,Cardinal,STAN,ACC
Syracuse,Orange,SYR,ACC
TCU,Horned Frogs,TCU,Big 12
Temple,Owls,TEM,American Athletic
Tennessee,Volunteers,TENN,SEC
Texas,Longhorns,TEX,SEC
Texas A&M,Aggies,TA&M,SEC
Texas State,Bobcats,TXST,Pac-12
Texas Tech,Red Raiders,TTU,Big 12
Toledo,Rockets,TOL,Mid-American
Troy,Trojans,TROY,Sun Belt
Tulane,Green Wave,TULN,American Athletic
Tulsa,Golden Hurricane,TLSA,American Athletic
UAB,Blazers,UAB,American Athletic
UCF,Knights,UCF,Big 12
UCLA,Bruins,UCLA,Big Ten
UConn,Huskies,CONN,FBS Independents
UL Monroe,Warhawks,ULM,Sun Belt
UNLV,Rebels,UNLV,Mountain West
USC,Trojans,USC,Big Ten
Utah,Utes,UTAH,Big 12
Utah State,Aggies,USU,Pac-12
UTEP,Miners,UTEP,Mountain West
UTSA,Roadrunners,UTSA,American Athletic
Vanderbilt,Commodores,VAN,SEC
Virginia,Cavaliers,UVA,ACC
Virginia Tech,Hokies,VT,ACC
Wake Forest,Demon Deacons,WAKE,ACC
Washington,Huskies,WASH,Big Ten
Washington State,Cougars,WSU,Pac-12
Western Kentucky,Hilltoppers,WKU,Conference USA
Western Michigan,Broncos,WMU,Mid-American
West Virginia,Mountaineers,WVU,Big 12
Wisconsin,Badgers,WIS,Big Ten
Wyoming,Cowboys,WYO,Mountain West
