season,week,home,away,opener,proj,edge,side,close
2026,1,Florida State,SMU,52.5,48.4,-4.1,UNDER,
2026,2,North Texas,UNLV,57.0,60.3,3.3,OVER,57.75
2026,2,Vanderbilt,Delaware,53.5,53.2,-0.3,UNDER,54.75
2026,2,Boise State,Memphis,55.5,57.1,1.6,OVER,55.25
2026,2,Ohio,Jacksonville State,51.5,52.0,0.5,OVER,49.75
2026,2,Florida International,Buffalo,48.5,49.4,0.9,OVER,47.5
2026,2,Kennesaw State,Georgia State,51.0,50.5,-0.5,UNDER,55.5
2026,2,Nebraska,Bowling Green,52.0,52.6,0.6,OVER,49.5
2026,2,Georgia Tech,Tennessee,55.0,53.0,-2.0,UNDER,55.5
2026,2,Sam Houston,Tulsa,52.0,52.8,0.8,OVER,51.75
2026,2,Marshall,Middle Tennessee,57.5,52.4,-5.1,UNDER,55.75
2026,2,Tulane,South Alabama,50.5,51.2,0.7,OVER,48.25
2026,2,UCLA,San Diego State,53.0,48.1,-4.9,UNDER,54.25
2026,2,Texas,Ohio State,47.5,53.6,6.1,OVER,50.75
2026,2,Clemson,Georgia Southern,55.5,46.6,-8.9,UNDER,54.75
2026,2,Iowa,Iowa State,41.0,46.3,5.3,OVER,42.0
2026,2,LSU,Louisiana Tech,55.5,53.0,-2.5,UNDER,55.75
2026,2,Florida Atlantic,Navy,59.0,61.4,2.4,OVER,59.5
2026,2,Oregon State,Texas Tech,51.5,54.5,3.0,OVER,53.5
2026,2,Ole Miss,Charlotte,61.5,61.2,-0.3,UNDER,59.5
2026,2,Auburn,Southern Miss,53.0,52.6,-0.4,UNDER,57.25
2026,2,Air Force,North Dakota State,47.5,47.2,-0.3,UNDER,47.5
2026,2,Utah,Arkansas,57.0,52.8,-4.2,UNDER,55.5
2026,2,Fresno State,Sacramento State,46.0,47.7,1.7,OVER,44.5
2026,2,USC,Louisiana,60.0,59.4,-0.6,UNDER,59.5
2026,2,Hawai'i,New Mexico State,50.5,53.8,3.3,OVER,50.25
2026,3,Pittsburgh,Syracuse,53.5,46.2,-7.3,UNDER,53.5
2026,3,Wake Forest,Miami,56.0,52.9,-3.1,UNDER,55.5
2026,3,Texas Tech,Houston,54.5,51.3,-3.2,UNDER,
2026,3,Delaware,Coastal Carolina,57.5,55.1,-2.4,UNDER,
2026,3,Minnesota,Akron,49.0,56.6,7.6,OVER,48.5
2026,3,Clemson,North Carolina,44.5,44.1,-0.4,UNDER,44.5
2026,3,Iowa State,Bowling Green,46.0,50.0,4.0,OVER,43.5
2026,3,Arkansas,Georgia,54.0,54.1,0.1,OVER,54.75
2026,3,Kansas,Arizona State,53.0,58.6,5.6,OVER,50.75
2026,3,Kansas State,Tulane,49.5,52.5,3.0,OVER,49.5
2026,3,Texas State,North Texas,63.5,61.4,-2.1,UNDER,62.5
2026,3,Penn State,Buffalo,47.5,52.7,5.2,OVER,48.25
2026,3,Ohio State,Kent State,58.5,56.6,-1.9,UNDER,58.75
2026,3,Wisconsin,Eastern Michigan,46.0,47.8,1.8,OVER,44.25
2026,3,Vanderbilt,NC State,52.5,50.6,-1.9,UNDER,50.5
2026,3,Central Michigan,Wyoming,39.5,45.8,6.3,OVER,39.75
2026,3,Toledo,Temple,51.0,51.4,0.4,OVER,48.5
2026,3,Michigan,UTEP,49.5,49.3,-0.2,UNDER,48.5
2026,3,Texas A&M,Kentucky,49.0,48.8,-0.2,UNDER,49.5
2026,3,Cincinnati,Miami (OH),51.0,51.0,0.0,UNDER,49.5
2026,3,Louisville,SMU,59.5,63.3,3.8,OVER,58.5
2026,3,Rutgers,USC,57.5,63.4,5.9,OVER,58.0
2026,3,Utah,Utah State,57.0,58.0,1.0,OVER,56.5
2026,3,Alabama,Florida State,49.0,49.3,0.3,OVER,49.75
2026,3,Baylor,Louisiana Tech,55.0,52.7,-2.3,UNDER,50.5
2026,3,Liberty,Ball State,51.0,51.4,0.4,OVER,49.25
2026,3,Indiana,Western Kentucky,59.5,63.7,4.2,OVER,60.75
2026,3,Duke,Stanford,51.0,51.7,0.7,OVER,51.25
2026,3,South Carolina,Mississippi State,58.5,51.4,-7.1,UNDER,58.75
