season,week,date,away,home,opener,close,proj,edge,rec,tier,result,clv,clv_pts,margin,proj_err,vegas_err,proj_vs_vegas,actual
2020,1,09/03/20,South Alabama,Southern Miss,54.5,54.5,51.5,-3.0,UNDER,LEAN,WIN,-,0.0,1.5,1.5,-1.5,-3.0,53.0
2020,1,09/05/20,Middle Tennessee,Army,54.0,54.0,56.1,2.1,,,,,,,-14.1,-12.0,2.1,42.0
2020,1,09/05/20,SMU,Texas State,70.5,70.5,54.1,-16.4,UNDER,STRONG,WIN,-,0.0,15.5,0.9,-15.5,-16.4,55.0
2020,1,09/05/20,Arkansas State,Memphis,72.0,72.0,65.1,-6.9,UNDER,STRONG,WIN,-,0.0,11.0,-4.1,-11.0,-6.9,61.0
2020,1,09/07/20,BYU,Navy,48.5,48.5,55.9,7.4,OVER,STRONG,WIN,-,0.0,9.5,2.1,9.5,7.4,58.0
2020,1,12/21/20,App State,North Texas,67.5,67.5,59.0,-8.5,UNDER,STRONG,LOSS,-,0.0,-16.5,25.0,16.5,-8.5,84.0
2020,1,12/22/20,Tulane,Nevada,56.5,56.5,54.6,-1.9,,,,,,,10.4,8.5,-1.9,65.0
2020,1,12/22/20,UCF,BYU,80.0,80.0,56.1,-23.9,UNDER,STRONG,WIN,-,0.0,8.0,15.9,-8.0,-23.9,72.0
2020,1,12/23/20,Louisiana Tech,Georgia Southern,48.0,48.0,53.8,5.8,OVER,STRONG,LOSS,-,0.0,-7.0,-12.8,-7.0,5.8,41.0
2020,1,12/23/20,Memphis,Florida Atlantic,52.5,52.5,56.7,4.2,OVER,LEAN,LOSS,-,0.0,-17.5,-21.7,-17.5,4.2,35.0
2020,1,12/24/20,Hawai'i,Houston,60.5,60.5,59.0,-1.5,,,,,,,-17.0,-18.5,-1.5,42.0
2020,1,12/25/20,Marshall,Buffalo,53.5,53.5,51.1,-2.4,,,,,,,-24.1,-26.5,-2.4,27.0
2020,1,12/26/20,Louisiana,UTSA,54.5,54.5,59.7,5.2,OVER,STRONG,WIN,-,0.0,0.5,-4.7,0.5,5.2,55.0
2020,1,12/26/20,Western Kentucky,Georgia State,50.5,50.5,53.6,3.1,OVER,LEAN,WIN,-,0.0,9.5,6.4,9.5,3.1,60.0
2020,1,12/26/20,Liberty,Coastal Carolina,60.0,60.0,56.1,-3.9,UNDER,LEAN,LOSS,-,0.0,-11.0,14.9,11.0,-3.9,71.0
